name,year,abv,size,grape type,country,wine_type,style,at its best,wine maker,price per bottle,num_review,rating,url
La Costaiola Pinot Nero 2019,2019,12.50%,75cl,Pinot Noir,Italy,Red,Light Reds,Now - End 2025,Michele Rossetti,13.99,37,3.9 out of 5 stars from 37 customers,https://www.virginwines.co.uk/wine/Z39770103112/La-Costaiola-Pinot-Nero
Gunderloch Fritz Riesling 2020,2020,11.50%,75cl,Riesling,Germany,White,Aromatic Whites,Now - End 2024,Johannes Hasselbach,14.99,39,4.2 out of 5 stars from 39 customers,https://www.virginwines.co.uk/wine/Z39856102638/Gunderloch-Fritz-Riesling
Schnaitmann Simonroth Lemberger 2018,2018,13.00%,75cl,Other red grapes,Germany,Red,Light Reds,Now - End 2024,Rainer Schnaitmann,26.99,5,4.2 out of 5 stars from 5 customers,https://www.virginwines.co.uk/wine/Z39857102638/Schnaitmann-Simonroth-Lemberger
Pablo Claro Tempranillo 2020,2020,14.00%,75cl,Tempranillo (Rioja),Spain,Red,Full Bodied Reds,Now - End 2024,Ruth Fernandez,10.99,188,4 out of 5 stars from 188 customers,https://www.virginwines.co.uk/wine/Z38584102131/Pablo-Claro-Tempranillo
Heranca Ruby Port NV,NV,20.00%,75cl,Touriga Nacional blend,Portugal,Fortified,Port and Fortified,Within 4 years of purchase,David Guimaraens,17.99,134,4.3 out of 5 stars from 134 customers,https://www.virginwines.co.uk/wine/Z39590100003/Heranca-Ruby-Port
Locos Muertos by Seb De Martino 2021,2021,14.00%,75cl,Carmenere,Chile,Red,Full Bodied Reds,Now - End 2030,Nicolas Perez,14.99,503,4.2 out of 5 stars from 503 customers,https://www.virginwines.co.uk/wine/Z39632100741/Locos-Muertos-by-Seb-De-Martino
Penombre Blanc 2020,2020,12.50%,75cl,Grenache Blanc,France,White,Aromatic Whites,Now - End 2023,Cyril Payon,12.99,206,4.2 out of 5 stars from 206 customers,https://www.virginwines.co.uk/wine/Z39580102796/Penombre-Blanc
Capcanes Sense Cap 2019,2019,14.00%,75cl,Grenache / Garnacha blend,Spain,Red,Light Reds,Now - End 2024,Jurgen Wagner,12.99,92,4 out of 5 stars from 92 customers,https://www.virginwines.co.uk/wine/Z37350101434/Capcanes-Sense-Cap
Capcanes La Nit de les Garnatxes Clay 2018,2018,14.50%,75cl,Grenache / Garnacha,Spain,Red,Full Bodied Reds,Now - End 2025,Jurgen Wagner,16.99,39,4.4 out of 5 stars from 39 customers,https://www.virginwines.co.uk/wine/Z37339101434/Capcanes-La-Nit-de-les-Garnatxes-Clay
Capcanes La Nit de les Garnatxes Limestone 2018,2018,14.50%,75cl,Grenache / Garnacha,Spain,Red,Full Bodied Reds,Now - End 2025,Jurgen Wagner,16.99,35,4.4 out of 5 stars from 35 customers,https://www.virginwines.co.uk/wine/Z37337101434/Capcanes-La-Nit-de-les-Garnatxes-Limestone
Lianto Primitivo 2019,2019,13.00%,75cl,Zinfandel / Primitivo,Italy,Red,Full Bodied Reds,Now - End 2024,Benedetto Lorusso,11.99,126,4.1 out of 5 stars from 126 customers,https://www.virginwines.co.uk/wine/Z38631102454/Lianto-Primitivo
Paul Hobbs Napa Valley Crossbarn Cabernet Sauvignon 2018,2018,15.00%,75cl,Cabernet Sauvignon,USA,Red,Full Bodied Reds,Now - End 2032,Paul Hobbs,45.99,1,5 out of 5 stars from 1 customer,https://www.virginwines.co.uk/wine/Z39647101434/Paul-Hobbs-Napa-Valley-Crossbarn-Cabernet-Sauvignon
Las Campanas Seleccion Especial 2018,2018,13.50%,75cl,Tempranillo blend,Spain,Red,Classic Reds,Now - End 2028,Borja Ripa,13.99,230,4 out of 5 stars from 230 customers,https://www.virginwines.co.uk/wine/Z39046101434/Las-Campanas-Seleccion-Especial
Les Hautes Terrasses Cotes du Rhone 2020,2020,14.00%,75cl,Grenache / Garnacha blend,France,Red,Light Reds,Now - End 2024,Julien Dugas,11.99,679,4.1 out of 5 stars from 679 customers,https://www.virginwines.co.uk/wine/Z37251100020/Les-Hautes-Terrasses-Cotes-du-Rhone
5OS Project McLaren Vale Shiraz Touriga 2018,2018,14.50%,75cl,Syrah / Shiraz blend,Australia,Red,Full Bodied Reds,Now - End 2023,Steve Grimley,19.99,33,4.5 out of 5 stars from 33 customers,https://www.virginwines.co.uk/wine/Z37605102291/5OS-Project-McLaren-Vale-Shiraz-Touriga
Bodegas Hidalgo Napolean Amontillado Seco NV,NV,17.50%,50cl,Palomino,Spain,Sherry,Sherry,Within 15 years of purchase,Javier Hidalgo,13.99,9,3.1 out of 5 stars from 9 customers,https://www.virginwines.co.uk/wine/Z39571100003/Bodegas-Hidalgo-Napolean-Amontillado-Seco
Ulrich Langguth Riesling Spatlese Piesporter Goldtropfchen 2018,2018,9.00%,75cl,Riesling,Germany,White,Aromatic Whites,Now - End 2030,Peter Burens,19.99,32,4.3 out of 5 stars from 32 customers,https://www.virginwines.co.uk/wine/Z35906101465/Ulrich-Langguth-Riesling-Spatlese-Piesporter-Goldtropfchen
VAT 52 Reserve Barossa Valley Shiraz 2022,2022,14.50%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2023,Fuse Winemaking Team,19.99,506,4.6 out of 5 stars from 506 customers,https://www.virginwines.co.uk/wine/Z37716102291/VAT-52-Reserve-Barossa-Valley-Shiraz
Trabajemos Organic Tempranillo 2020,2020,13.50%,75cl,Tempranillo (Rioja),Spain,Red,Full Bodied Reds,Now - End 2024,The Fernandez Family,14.99,789,4.2 out of 5 stars from 789 customers,https://www.virginwines.co.uk/wine/Z38679102131/Trabajemos-Organic-Tempranillo
Trabajemos Organic Mezcla Tinta 2020,2020,13.50%,75cl,Grenache / Garnacha blend,Spain,Red,Full Bodied Reds,Now - End 2024,Ruth Fernandez,12.99,322,4 out of 5 stars from 322 customers,https://www.virginwines.co.uk/wine/Z39074102131/Trabajemos-Organic-Mezcla-Tinta
Domaine de L'Ermitage Menetou Salon Blanc 2020,2020,14.00%,75cl,Sauvignon Blanc,France,White,Dry and Crisp Whites,Now - End 2024,Antoine de la Farge,16.99,28,4.1 out of 5 stars from 28 customers,https://www.virginwines.co.uk/wine/Z38765101434/Domaine-de-LErmitage-Menetou-Salon-Blanc
Les Arbousiers Reserve Pinot Noir Rose Magnum 2018,2018,13.00%,Magnum1.5L,Pinot Noir,France,Rosé,Dry and Fruity Rosé,Now - End 2022,Guillaume Létang,24.99,38,4.2 out of 5 stars from 38 customers,https://www.virginwines.co.uk/wine/Z39064100020/Les-Arbousiers-Reserve-Pinot-Noir-Rose-Magnum
Vigne Sannite Greco 2020,2020,12.00%,75cl,Greco,Italy,White,Aromatic Whites,Now - End 2025,Meola Lucio,11.99,34,4.1 out of 5 stars from 34 customers,https://www.virginwines.co.uk/wine/Z39050102873/Vigne-Sannite-Greco
Cuvee de L'Aubade Cotes de Provence 2021,2021,13.00%,75cl,Grenache / Garnacha blend,France,Rosé,Dry and Fruity Rosé,Now - End 2025,Clément Lagana,13.99,289,4.5 out of 5 stars from 289 customers,https://www.virginwines.co.uk/wine/Z39100102951/Cuvee-de-LAubade-Cotes-de-Provence
Florel Reserve Malbec 2021,2021,14.00%,75cl,Malbec,Argentina,Red,Full Bodied Reds,Now - End 2025,Stephen Huse,11.99,1249,4.2 out of 5 stars from 1249 customers,https://www.virginwines.co.uk/wine/Z39042101414/Florel-Reserve-Malbec
Lof Cabernet Sauvignon 2018,2018,13.00%,75cl,Cabernet Sauvignon,Chile,Red,Full Bodied Reds,Now - End 2024,German Lyon,17.99,20,4.4 out of 5 stars from 20 customers,https://www.virginwines.co.uk/wine/Z37310102597/Lof-Cabernet-Sauvignon
Altolandon Mil Historias Organic Syrah 2019,2019,14.00%,75cl,Shiraz / Syrah,Spain,Red,Full Bodied Reds,Now - End 2027,Rosalia Molina,13.99,25,4 out of 5 stars from 25 customers,https://www.virginwines.co.uk/wine/Z39078101434/Altolandon-Mil-Historias-Organic-Syrah
Bodegas Amaren Rioja Reserva 2010,2010,14.50%,75cl,Tempranillo (Rioja),Spain,Red,Classic Reds,Now - End 2029,Fidel Fernández Góme,35.99,23,4.7 out of 5 stars from 23 customers,https://www.virginwines.co.uk/wine/Z38434101434/Bodegas-Amaren-Rioja-Reserva
De Martino Niebla Chardonnay 2020,2020,13.00%,75cl,Chardonnay,Chile,White,Dry and Crisp Whites,Now - End 2023,Nicolas Perez,13.99,86,3.9 out of 5 stars from 86 customers,https://www.virginwines.co.uk/wine/Z38972100741/De-Martino-Niebla-Chardonnay
Perez Cruz Syrah Reserva Limited Edition 2019,2019,14.50%,75cl,Shiraz / Syrah,Chile,Red,Full Bodied Reds,Now - End 2026,German Lyon,17.99,141,4.4 out of 5 stars from 141 customers,https://www.virginwines.co.uk/wine/Z34523100826/Perez-Cruz-Syrah-Reserva-Limited-Edition
Perez Cruz Liguai 2018,2018,14.50%,75cl,Cabernet blend,Chile,Red,Full Bodied Reds,Now - End 2027,German Lyon,28.99,101,4.7 out of 5 stars from 101 customers,https://www.virginwines.co.uk/wine/Z34524100826/Perez-Cruz-Liguai
