wine_type,size (cL),name,price,rating,num_review,country,abv,year,url
rose,75,Morrisons The Best Provence Rose,9.5,4,1,France,13,2018,https://groceries.morrisons.com/products/morrisons-the-best-provence-rose-480687011
rose,75,Morrisons The Best Chenin Blanc,8,4.7,9,Western Cape,12.5,2021,https://groceries.morrisons.com/products/morrisons-the-best-chenin-blanc-119967011
rose,75,Morrisons The Best Pinot Grigio Rose,7.75,3.7,6,Italy,12.5,2015,https://groceries.morrisons.com/products/morrisons-the-best-pinot-grigio-rose-217624011
rose,75,Vitis Nostra Pinot Noir Rose,6.25,4.5,11,Italy,11.5,2015,https://groceries.morrisons.com/products/vitis-nostra-pinot-noir-rose-287167011
rose,75,Mateus Rose,5.49,4.6,7,Portugal,11,NV,https://groceries.morrisons.com/products/mateus-rose-217997011
rose,75,Gallo Family Vineyards White Grenache Rose Wine,5.5,5,4,U,10.5,2019,https://groceries.morrisons.com/products/gallo-family-vineyards-white-grenache-rose-wine-212709011
rose,75,Barefoot White Zinfandel Rose Wine,6,4.4,7,United States,8.5,NV,https://groceries.morrisons.com/products/barefoot-white-zinfandel-rose-wine-119819011
rose,75,Gallo Family Vineyards White Zinfandel Rose Wine,5.5,0,0,United States,8.5,2019,https://groceries.morrisons.com/products/gallo-family-vineyards-white-zinfandel-rose-wine-212324011
rose,75,Echo Falls White Zinfandel,6.5,4.2,6,United States,10.5,2019,https://groceries.morrisons.com/products/echo-falls-white-zinfandel-243716011
rose,75,Blossom Hill White Zinfandel,5.5,5,3,United States,11,2019,https://groceries.morrisons.com/products/blossom-hill-white-zinfandel-119817011
rose,75,Barefoot Pink Moscato Rose Wine,6,5,9,United States,9,NV,https://groceries.morrisons.com/products/barefoot-pink-moscato-rose-wine-243688011
rose,75,La Vieille Ferme Rose,6,0,0,France,13,2020,https://groceries.morrisons.com/products/la-vieille-ferme-rose-588025011
rose,75,Morrisons The Best Touraine Rose,8,3,4,France,12.5,,https://groceries.morrisons.com/products/morrisons-the-best-touraine-rose-523765011
rose,75,Hardys Bankside Rose,6.5,5,1,Australia,11.5,2017,https://groceries.morrisons.com/products/hardys-bankside-rose-119824011
rose,75,I Heart Prosecco Rose,9.25,0,0,Italy,11,2020,https://groceries.morrisons.com/products/i-heart-prosecco-rose-585803011
rose,75,Black Tower Rosé,6,5,3,Produce of the EU,9.5,NV,https://groceries.morrisons.com/products/black-tower-ros-119807011
